time,cov,vul_count,llm_time,in_token_1,in_token_2,in_token_3,in_token_4,out_token_1,out_token_2,out_token_3,out_token_4,model,temperature,mode,num_candi,contract
190.74624848365784,99.62%,1,15.371707201004028,1456,2312,3051,0,384,386,166,0,llama,0.0,gen,10,HoloToken
26.41292715072632,99.79%,2,5.061305999755859,510,0,0,0,337,0,0,0,llama,0.0,gen,10,Crowdsale
1920.5782613754272,87.78%,0,24.663244009017944,2477,3750,5057,0,455,477,484,0,llama,0.0,gen,10,USMT
197.15666723251343,99.72%,1,16.27023410797119,1456,2994,3635,0,435,333,181,0,llama,0.0,gen_sel,10,HoloToken
26.1985821723938,99.79%,2,4.456150770187378,510,0,0,0,310,0,0,0,llama,0.0,gen_sel,10,Crowdsale
1698.6482901573181,95.07%,2,29.37713861465454,2477,4756,6092,0,478,524,540,0,llama,0.0,gen_sel,10,USMT
187.41300535202026,99.62%,1,14.769929885864258,1456,2299,3032,0,371,380,144,0,llama,0.2,gen,10,HoloToken
27.31108045578003,99.79%,2,4.8503241539001465,510,0,0,0,296,0,0,0,llama,0.2,gen,10,Crowdsale
2339.9920053482056,87.03%,0,24.8168523311615,2477,3696,4998,0,401,450,565,0,llama,0.2,gen,10,USMT
166.9252986907959,99.72%,1,16.436808824539185,1456,2935,3650,0,373,351,260,0,llama,0.2,gen_sel,10,HoloToken
28.03922462463379,99.79%,2,5.6240644454956055,510,0,0,0,377,0,0,0,llama,0.2,gen_sel,10,Crowdsale
2294.667310476303,95.07%,2,37.48310041427612,2477,4790,6310,0,529,727,812,0,llama,0.2,gen_sel,10,USMT
119.57933712005615,76.06%,1,16.23799228668213,1456,2278,2974,0,350,297,335,0,llama,0.4,gen,10,HoloToken
28.387012720108032,99.79%,2,5.055217981338501,510,0,0,0,319,0,0,0,llama,0.4,gen,10,Crowdsale
2594.4391877651215,87.78%,0,30.055574417114258,2477,3779,5142,0,484,517,689,0,llama,0.4,gen,10,USMT
219.39118123054504,99.62%,1,16.874590635299683,1456,2859,3566,0,393,359,251,0,llama,0.4,gen_sel,10,HoloToken
29.638014554977417,99.79%,2,6.5883307456970215,510,0,0,0,416,0,0,0,llama,0.4,gen_sel,10,Crowdsale
2004.003577709198,95.07%,2,29.807355403900146,2477,4747,6095,0,475,580,560,0,llama,0.4,gen_sel,10,USMT
169.5103738307953,99.62%,1,16.697096586227417,1456,2336,3085,0,396,413,199,0,llama,0.6,gen,10,HoloToken
27.563796043395996,99.79%,2,4.116286754608154,510,0,0,0,265,0,0,0,llama,0.6,gen,10,Crowdsale
1493.8773827552795,87.78%,0,29.500301599502563,2477,3751,5135,0,456,563,670,0,llama,0.6,gen,10,USMT
196.79907321929932,99.62%,1,17.286956548690796,1456,3004,3687,0,444,381,197,0,llama,0.6,gen_sel,10,HoloToken
26.90042734146118,99.79%,2,5.535723686218262,510,0,0,0,374,0,0,0,llama,0.6,gen_sel,10,Crowdsale
2014.3700296878815,91.18%,0,25.675676345825195,2477,4807,6200,0,498,570,363,0,llama,0.6,gen_sel,10,USMT
183.60000228881836,99.62%,1,17.23159956932068,1456,2389,3302,0,442,475,169,0,llama,0.8,gen,10,HoloToken
27.513673067092896,99.16%,2,5.269495725631714,510,0,0,0,352,0,0,0,llama,0.8,gen,10,Crowdsale
2044.4420101642609,87.78%,0,24.77907395362854,2477,3679,4982,0,384,440,557,0,llama,0.8,gen,10,USMT
178.96243834495544,99.62%,1,15.501657724380493,1456,3007,3599,0,447,307,166,0,llama,0.8,gen_sel,10,HoloToken
37.87672543525696,99.79%,2,13.041850328445435,510,1233,1758,0,378,287,189,0,llama,0.8,gen_sel,10,Crowdsale
1686.5347828865051,95.07%,1,24.350254774093628,2477,4808,5917,0,532,386,443,0,llama,0.8,gen_sel,10,USMT
225.4697699546814,89.11%,1,20.85135507583618,1456,2360,3268,0,458,434,388,0,llama,1.0,gen,10,HoloToken
38.27761745452881,99.79%,2,10.51085877418518,510,1162,0,0,362,324,0,0,llama,1.0,gen,10,Crowdsale
2179.825403213501,87.78%,0,28.7464337348938,2477,3753,5141,0,458,558,603,0,llama,1.0,gen,10,USMT
218.5598635673523,99.62%,1,20.70357370376587,1456,2884,3739,0,420,507,340,0,llama,1.0,gen_sel,10,HoloToken
32.21942210197449,99.79%,2,10.304428815841675,510,1174,0,0,362,311,0,0,llama,1.0,gen_sel,10,Crowdsale
1921.5239517688751,95.07%,2,23.517862796783447,2477,4678,5940,0,409,500,407,0,llama,1.0,gen_sel,10,USMT
